LocalityID,GENERATION,FISHGROUP,RegionName,GrossWeightPrDay,MortalityByInputCount,EconomicFCR,InputCount,HarvestSuperiorGrossBiomass_KGRatio,EndWeightGross,TemperatureBackfill3m
14204,SF18,18.01.001,Finnmark,0.010773,0.14085,1.210945,123169.96,0.540184,7.3908517,5.484255
14204,SF18,18.01.006,Finnmark,0.008175,0.148257,1.165875,113942.98,0.667719,4.3405707,5.640372
14204,SF18,18.01.004,Finnmark,0.008175,0.187755,1.347501,126711.99,0.610701,4.3894,5.682962
14204,SF18,18.01.002,Finnmark,0.011,0.182637,1.326097,106744.97,0.499203,7.0164139,5.654077
14204,SF18,18.01.005,Finnmark,0.008085,0.159468,1.114818,127812.97,0.619954,4.3460822,5.731453
14204,SF18,18.01.003,Finnmark,0.010416,0.205224,1.380404,106630.98,0.489323,7.0420579,5.53188
14205,SF20,19.01.003,Finnmark,0.01216,0.069931,1.183083,102855.98,0.973475,6.7978273,7.745652
14205,SF20,19.01.002,Finnmark,0.011309,0.081385,1.172885,106056.99,0.975601,6.3047544,7.742793
14205,SF20,19.01.001,Finnmark,0.011932,0.072855,1.25493,102518.99,0.958489,6.5617748,7.740089
14205,SS16,16.00.004,Finnmark,0.008053,0.101553,1.123307,137999.96,0.949864,5.3141722,7.848273
14205,SS16,16.00.005,Finnmark,0.008698,0.088193,1.180688,143657.97,0.92901,6.3239305,7.404834
14205,SS16,16.00.013,Finnmark,0.008777,0.114382,1.173085,76593.1,0.896931,6.406982,7.371907
14205,SS16,16.00.006,Finnmark,0.008135,0.101172,1.260508,133505.96,0.949648,5.4141554,7.821011
14205,SS16,16.00.008,Finnmark,0.007267,0.131876,1.1781,141274.98,0.907786,5.7356015,7.144579
14205,SS16,16.00.014,Finnmark,0.010712,0.08995,1.200886,98607.73,0.915038,6.3885857,8.073988
14205,SS16,16.00.016,Finnmark,0.008686,0.172217,1.136483,96102.73,0.903025,6.095319,6.686169
14205,SS16,16.00.012,Finnmark,0.007794,0.118231,1.17474,140839.97,0.907148,5.9026871,6.663584
14205,SS16,16.00.017,Finnmark,0.008737,0.17239,1.208339,98308.49,0.862275,6.4145655,6.650441
14205,SS16,16.00.018,Finnmark,0.008321,0.165902,1.141984,98639.46,0.901664,6.0850551,6.650447
14206,SF16,16.00.011,Finnmark,0.008852,0.103752,1.058401,115958.53,0.89792,6.4367851,6.496795
14206,SF16,16.00.012,Finnmark,0.008894,0.092197,1.044078,116092.78,0.9244,6.3377348,6.37231
14206,SF16,16.00.007,Finnmark,0.008769,0.11473,1.117152,122125.96,0.867857,6.7907641,6.676632
14206,SF16,16.00.008,Finnmark,0.008626,0.088974,1.097483,123232.97,0.960667,5.8091889,6.365934
14206,SF16,16.00.013,Finnmark,0.009498,0.118202,1.124425,100645.64,0.832088,7.2207683,6.649682
